2.38,0,0,0,0,0,2
3.7031,0,0,0,0,0,3
113,90,100,110,120,120,113
13.6,10,10,10,10,20,13
257,220,230,250,270,280,257
14,10,10,10,10,20,14
1890,1590,1690,1790,1900,2000,1890
2100,1760,1820,1880,1940,2000,2100
2.40,0,0,0,0,0,2
3.7132,0,0,0,0,0,3
104,90,90,100,110,110,104
13.8,10,10,10,10,20,13
784,660,710,760,810,870,784
150,130,140,150,160,170,150
1560,1310,1410,1520,1620,1720,1560
6500,5460,4590,3730,2860,2000,6500
2.71,0,0,0,0,0,2
3.0033,0,0,0,0,0,3
97,80,90,90,100,110,97
13.6,10,10,10,10,20,13
414,350,380,400,430,460,414
42,40,40,40,40,50,42
1700,1430,1540,1650,1770,1880,1700
2400,2020,2010,2010,2000,2000,2400
2.56,0,0,0,0,0,2
4.1434,0,0,0,0,0,4
103,90,90,100,110,110,103
13.2,10,10,10,10,10,13
536,450,490,520,560,590,536
24,20,20,20,20,30,24
1660,1390,1500,1610,1730,1840,1660
2700,2270,2200,2130,2070,2000,2700
2.71,0,0,0,0,0,2
3.4537,0,0,0,0,0,3
109,90,100,110,110,120,109
13.5,10,10,10,10,10,13
454,380,410,440,470,500,454
68,60,60,70,70,80,68
1710,1440,1550,1660,1780,1890,1710
6900,5800,4850,3900,2950,2000,6900
2.65,0,0,0,0,0,2
3.7839,0,0,0,0,0,3
94,80,90,90,100,100,94
12.9,10,10,10,10,10,12
410,340,370,400,430,450,410
35,30,30,30,40,40,35
1700,1430,1540,1650,1770,1880,1700
5200,4370,3780,3180,2590,2000,5200
2.67,0,0,0,0,0,2
4.0042,0,0,0,0,0,4
94,80,90,90,100,100,94
12.6,10,10,10,10,10,12
164,140,150,160,170,180,164
9.7,10,10,10,10,10,9
1970,1650,1740,1830,1910,2000,1970
6400,5380,4530,3690,2840,2000,6400
2.49,0,0,0,0,0,2
3.5743,0,0,0,0,0,3
109,90,100,110,110,120,109
13.5,10,10,10,10,10,13
231,190,210,220,240,260,231
17,10,20,20,20,20,17
1930,1620,1720,1810,1910,2000,1930
8400,7060,5790,4530,3260,2000,8400
2.48,0,0,0,0,0,2
2.6947,0,0,0,0,0,2
102,90,90,100,110,110,102
13.4,10,10,10,10,10,13
688,580,620,670,710,760,688
280,240,250,270,290,310,280
1590,1340,1440,1550,1650,1760,1590
7900,6640,5480,4320,3160,2000,7900
2.61,0,0,0,0,0,2
3.7148,0,0,0,0,0,3
112,90,100,110,120,120,112
13.1,10,10,10,10,10,13
482,400,440,470,500,530,482
87,70,80,80,90,100,87
1700,1430,1540,1650,1770,1880,1700
3000,2520,2390,2260,2130,2000,3000
2.98,0,0,0,0,0,2
3.3349,0,0,0,0,0,3
115,100,100,110,120,130,115
13.9,10,10,10,10,20,13
999,840,910,970,1040,1100,999
240,200,220,230,250,270,240
1530,1290,1390,1490,1590,1690,1530
3000,2520,2390,2260,2130,2000,3000
3.04,0,0,0,0,0,3
4.1750,0,0,0,0,0,4
95,80,90,90,100,110,95
13.3,10,10,10,10,10,13
828,700,750,810,860,920,828
28,20,30,30,30,30,28
1530,1290,1390,1490,1590,1690,1530
4000,3360,3020,2680,2340,2000,4000
2.58,0,0,0,0,0,2
4.4351,0,0,0,0,0,4
110,90,100,110,110,120,110
13.3,10,10,10,10,10,13
1750,1470,1590,1700,1820,1930,1750
1500,1260,1360,1460,1560,1660,1500
1410,1180,1280,1370,1470,1560,1410
5300,4450,3840,3230,2610,2000,5300
3.31,0,0,0,0,0,3
2.9153,0,0,0,0,0,2
101,80,90,100,100,110,101
13.7,10,10,10,10,20,13
623,520,560,610,650,690,623
55,50,50,50,60,60,55
1610,1350,1460,1570,1670,1780,1610
3800,3190,2890,2600,2300,2000,3800
2.69,0,0,0,0,0,2
3.2954,0,0,0,0,0,3
112,90,100,110,120,120,112
14.1,10,10,10,10,20,14
645,540,580,630,670,710,645
52,40,50,50,50,60,52
1630,1370,1480,1590,1690,1800,1630
7300,6130,5100,4070,3030,2000,7300
2.67,0,0,0,0,0,2
4.1255,0,0,0,0,0,4
119,100,110,120,120,130,119
14.2,10,10,10,10,20,14
465,390,420,450,480,510,465
140,120,130,140,150,150,140
1730,1450,1570,1680,1800,1910,1730
2100,1760,1820,1880,1940,2000,2100
2.57,0,0,0,0,0,2
3.3356,0,0,0,0,0,3
103,90,90,100,110,110,103
13.6,10,10,10,10,20,13
481,400,440,470,500,530,481
140,120,130,140,150,150,140
1680,1410,1520,1630,1750,1860,1680
1500,1260,1360,1460,1560,1660,1500
