NB0001,1360,1480,1570,1630,1680,1500
NB0003,1490,1630,1720,1790,1850,1650
NB0006,1380,1510,1600,1660,1720,1530
NB0007,1390,1520,1610,1670,1730,1540
NB0009,1480,1620,1710,1780,1840,1640
NB0010,1470,1600,1690,1760,1820,1620
NB0012,1790,1960,2070,2150,2220,1980
NB0014,1560,1700,1800,1870,1930,1720
NB0015,1560,1700,1800,1870,1930,1720
NB0016,1760,1930,2040,2120,2190,1950
NB0018,1540,1680,1780,1850,1910,1700
NB0019,1470,1610,1700,1770,1830,1630
NB0021,1780,1950,2060,2140,2210,1970
NB0022,1410,1540,1630,1700,1750,1560
NB0024,1620,1770,1870,1950,2010,1790
NB0025,1470,1610,1700,1770,1830,1630
NB0026,1720,1880,1980,2060,2130,1900
NB0027,1680,1840,1940,2020,2090,1860
NB0028,1560,1700,1800,1870,1930,1720
NB0029,1560,1700,1800,1870,1930,1720
NB0030,1750,1920,2030,2110,2170,1940
NB0031,1710,1870,1970,2050,2120,1890
NB0032,1410,1540,1630,1700,1750,1560
NB0033,1540,1680,1780,1850,1910,1700
NB0034,1500,1640,1730,1800,1860,1660
NB0037,1550,1690,1790,1860,1920,1710
NB0039,1540,1680,1780,1850,1910,1700
NB0042,1780,1950,2060,2140,2210,1970
NB0043,1750,1910,2020,2100,2160,1930
NB0047,1440,1570,1660,1730,1780,1590
NB0048,1540,1680,1780,1850,1910,1700
NB0049,1380,1510,1600,1660,1720,1530
NB0050,1380,1510,1600,1660,1720,1530
NB0051,1280,1390,1470,1530,1580,1410
NB0053,1460,1590,1680,1750,1800,1610
NB0054,1470,1610,1700,1770,1830,1630
NB0055,1560,1710,1810,1880,1940,1730
NB0056,1520,1660,1750,1830,1880,1680
NB0057,1560,1700,1800,1870,1930,1720
NB0059,1410,1540,1630,1700,1750,1560
NB0061,1450,1580,1670,1740,1790,1600
NB0063,1560,1710,1810,1880,1940,1730
NB0065,1750,1910,2020,2100,2160,1930
NB0066,1650,1800,1900,1980,2040,1820
NB0067,1530,1670,1770,1840,1890,1690
NB0073,1660,1820,1920,2000,2060,1840
NB0074,1650,1800,1900,1980,2040,1820
NB0075,1700,1860,1960,2040,2110,1880
NB0076,1680,1840,1940,2020,2090,1860
NB0078,1760,1930,2040,2120,2190,1950
NB0081,1780,1950,2060,2140,2210,1970
NB0082,1520,1660,1750,1830,1880,1680
NB0083,1460,1590,1680,1750,1800,1610
NB0084,1380,1510,1600,1660,1720,1530
NB0087,1610,1760,1860,1930,2000,1780
NB0088,1420,1550,1640,1710,1760,1570
NB0090,1420,1550,1640,1710,1760,1570
NB0092,1660,1810,1910,1990,2050,1830
NB0094,1690,1850,1950,2030,2100,1870
NB0096,1630,1780,1880,1960,2020,1800
NB0097,1520,1660,1750,1830,1880,1680
NB0098,1380,1510,1600,1660,1720,1530
NB0099,1570,1720,1820,1890,1950,1740
NB0102,1500,1640,1730,1800,1860,1660
NB0103,1550,1690,1790,1860,1920,1710
NB0104,1460,1590,1680,1750,1800,1610
NB0105,1440,1570,1660,1730,1780,1590
NB0106,1300,1420,1500,1560,1610,1440
NB0107,1220,1330,1410,1470,1510,1350
NB0108,1280,1390,1470,1530,1580,1410
NB0111,1300,1420,1500,1560,1610,1440
NB0112,1670,1830,1930,2010,2070,1850
NB0113,1280,1390,1470,1530,1580,1410
NB0114,1340,1460,1550,1610,1660,1480
NB0115,1400,1530,1620,1680,1740,1550
NB0116,1180,1300,1370,1420,1470,1310
NB0117,1180,1300,1370,1420,1470,1310
NB0118,1690,1850,1950,2030,2100,1870
NB0119,1230,1340,1420,1480,1520,1360
NB0120,1160,1270,1340,1390,1430,1280
NB0121,1330,1450,1540,1600,1650,1470
NB0122,1160,1270,1340,1390,1430,1280
NB0123,1180,1300,1370,1420,1470,1310
NB0124,1180,1300,1370,1420,1470,1310
NB0125,1720,1880,1980,2060,2130,1900
NB0126,1470,1610,1700,1770,1830,1630
NB0127,1230,1340,1420,1480,1520,1360
NB0129,1460,1590,1680,1750,1800,1610
NB0130,1500,1640,1730,1800,1860,1660
NB0131,1360,1480,1570,1630,1680,1500
NB0132,1250,1360,1440,1500,1550,1380
NB0133,1170,1280,1350,1400,1450,1290
NB0134,1110,1220,1280,1340,1380,1230
NB0135,1210,1320,1400,1460,1500,1340
NB0136,1360,1480,1570,1630,1680,1500
NB0138,1190,1310,1380,1430,1480,1320
NB0139,1370,1490,1580,1640,1690,1510
NB0140,1370,1500,1590,1650,1700,1520
NB0141,1290,1410,1490,1550,1600,1430
NB0142,1320,1440,1520,1590,1640,1460
NB0143,1180,1300,1370,1420,1470,1310
NB0145,1530,1670,1770,1840,1890,1690
NB0146,1470,1610,1700,1770,1830,1630
NB0147,1350,1470,1560,1620,1670,1490
NB0148,1180,1300,1370,1420,1470,1310
NB0149,1370,1500,1590,1650,1700,1520
NB0150,1120,1230,1300,1350,1390,1240
NB0152,1170,1280,1350,1400,1450,1290
NB0153,1150,1260,1330,1380,1420,1270
NB0154,1260,1370,1450,1510,1560,1390
NB0155,1390,1520,1610,1670,1730,1540
NB0157,1150,1260,1330,1380,1420,1270
NB0158,1160,1270,1340,1390,1430,1280
NB0159,1160,1270,1340,1390,1430,1280
NB0160,1520,1660,1750,1830,1880,1680
NB0161,1190,1310,1380,1430,1480,1320
NB0162,1220,1330,1410,1470,1510,1350
NB0163,1280,1390,1470,1530,1580,1410
NB0164,1160,1270,1340,1390,1430,1280
NB0165,1210,1320,1400,1460,1500,1340
NB0166,1240,1350,1430,1490,1540,1370
NB0167,1380,1510,1600,1660,1720,1530
NB0169,1310,1430,1510,1580,1630,1450
NB0170,1400,1530,1620,1680,1740,1550
NB0171,1460,1590,1680,1750,1800,1610
