154,130,15.5,2250,27,1390,2700,3.05,4.40
155,132,14.7,1100,190,1540,5000,2.88,4.40
157,104,12.8,3530,1100,1270,1300,3.12,4.78
158,103,14.6,3360,230,1280,900,3.53,4.57
159,109,14.2,3650,310,1280,2000,3.39,4.00
160,111,12.9,509,110,1680,1500,3.09,3.10
161,112,14.1,2780,240,1320,2800,2.96,4.29
162,120,15.1,2610,44,1350,2200,3.05,4.30
163,119,15.0,1810,210,1410,1200,2.76,4.27
164,118,14.4,3640,150,1280,2700,3.59,4.43
165,113,14.6,2600,230,1340,1200,3.02,4.57
166,123,14.5,2360,760,1370,2300,3.16,4.30
167,124,15.3,1060,54,1530,1700,2.78,3.92
169,118,14.4,1470,77,1450,2100,2.78,4.00
170,109,13.6,868,55,1550,2000,2.64,3.86
171,124,15.2,753,26,1610,2500,2.67,4.18
