0	8036	11001	
1	8025	12538	
2	8029	14201	
3	8028	16338	
4	8026	16383	
5	8029	16383	
6	8017	16383	
7	8039	16383	
8	8017	16383	
9	8034	16383	
10	8019	16383	
11	8041	16383	
12	8021	16383	
13	8032	16383	
14	8030	16383	
15	8022	16383	
16	8032	16383	
17	8025	16383	
18	8030	16383	
19	8023	16383	
20	8035	16383	
21	8018	16383	
22	8034	16383	
23	8019	16383	
24	8026	16383	
25	8031	16383	
26	8029	16383	
27	8026	16383	
28	8020	16383	
29	8037	16383	
30	8018	16383	
31	8033	16383	
32	8028	16383	
33	8027	16383	
34	8026	16383	
35	8025	16383	
36	8030	16383	
37	8018	16383	
38	8038	16383	
39	8021	16383	
40	8031	16383	
41	8017	14973	
42	8042	9981	
43	8016	3706	
44	8030	2554	
45	8029	2682	
46	8019	2042	
47	8028	2042	
48	8023	1530	
49	8040	1786	
50	8018	1146	
51	8031	1274	
52	8024	761	
53	8031	1274	
54	8021	697	
55	8029	378	
56	8026	0	
57	8030	2	
58	8026	0	
59	8030	0	
60	8025	0	
61	8024	0	
62	8031	0	
63	8025	0	
64	8033	0	
65	8025	0	
66	8027	0	
67	8025	0	
68	8030	0	
69	8029	0	
70	8028	0	
71	8031	0	
72	8029	0	
73	8029	0	
74	8029	0	
75	8022	0	
76	8027	0	
77	8029	0	
78	8025	0	
79	8022	0	
80	8032	0	
81	8026	0	
82	8025	0	
83	8026	0	
84	8032	0	
85	8022	0	
86	8031	0	
87	8031	0	
88	8019	0	
89	8031	0	
90	8027	0	
91	8032	0	
92	8028	0	
93	8028	0	
94	8020	0	
95	8036	0	
96	8025	0	
97	8028	0	
98	8020	0	
99	8035	0	
100	8023	0	
101	8025	0	
102	8031	0	
103	8025	0	
104	8032	0	
105	8019	0	
106	8030	0	
107	8016	0	
108	8032	0	
109	8022	0	
110	8028	0	
111	8031	0	
112	8027	0	
113	8027	0	
114	8023	0	
115	8040	0	
116	8021	0	
117	8030	0	
118	8030	0	
119	8029	0	
120	8025	0	
121	8030	0	
122	8025	0	
123	8023	0	
124	8028	0	
125	8028	0	
126	8024	0	
127	8028	0	
128	8027	0	
129	8030	0	
130	
131	
